valid_time,cluster_id,number,latitude,longitude,tmin,tmax,hi,wbgt
2020-07-01,1,0,6.500000000000016,-3.1999999999999997,22.498566,26.235992,24.934933980305992,19.710242703016462
2020-07-02,1,0,6.500000000000016,-3.1999999999999997,22.773712,28.47403,26.150648328993057,20.650672184178234
2020-07-03,1,0,6.500000000000016,-3.1999999999999997,22.864166,29.30484,26.75750732421875,21.107930580066892
2020-07-04,1,0,6.500000000000016,-3.1999999999999997,22.933258,28.251617,25.986735026041668,20.525774413192273
2020-07-05,1,0,6.500000000000016,-3.1999999999999997,22.845123,26.996735,25.192926194932728,19.91253736343169
2020-07-06,1,0,6.500000000000016,-3.1999999999999997,21.821442,28.959747,26.502939860026043,20.917106067144672
2020-07-07,1,0,6.500000000000016,-3.1999999999999997,22.88382,28.693512,26.308381822374134,20.77030220637912
2020-07-08,1,0,6.500000000000016,-3.1999999999999997,22.919342,27.546051,25.47702365451389,20.13360491303206
2020-07-09,1,0,6.500000000000016,-3.1999999999999997,22.860748,25.96817,24.640574985080296,19.477641345543958
2020-07-10,1,0,6.500000000000016,-3.1999999999999997,22.477203,25.577057,24.21084933810764,19.134646061491225
2020-07-11,1,0,6.500000000000016,-3.1999999999999997,21.545074,25.409088,24.02607811821832,18.9859159448916
2020-07-12,1,0,6.500000000000016,-3.1999999999999997,21.782013,27.898346,25.727310180664062,20.32688944834578
2020-07-13,1,0,6.500000000000016,-3.1999999999999997,21.455109,28.829132,26.407830980088978,20.845445810916914
2020-07-14,1,0,6.500000000000016,-3.1999999999999997,22.467194,28.506256,26.171196831597225,20.666287865722175
2020-07-15,1,0,6.500000000000016,-3.1999999999999997,22.132477,28.154694,25.91039021809896,20.46739954931418
2020-07-16,1,0,6.500000000000016,-3.1999999999999997,21.55838,26.899323,25.208265516493057,19.924518914744255
2020-07-17,1,0,6.500000000000016,-3.1999999999999997,21.103546,26.360992,25.07041507297092,19.816657827680075
2020-07-18,1,0,6.500000000000016,-3.1999999999999997,21.822662,27.915802,25.74098798963759,20.33741240540025
2020-07-19,1,0,6.500000000000016,-3.1999999999999997,22.258575,29.229767,26.703550550672745,21.067603665947118
2020-07-20,1,0,6.500000000000016,-3.1999999999999997,22.600739,29.266266,26.730579800075954,21.087813155163815
2020-07-21,1,0,6.500000000000016,-3.1999999999999997,22.406036,28.742706,26.344150967068142,20.797354399737245
2020-07-22,1,0,6.500000000000016,-3.1999999999999997,22.027496,29.3096,26.76062266031901,21.11025700178704
2020-07-23,1,0,6.500000000000016,-3.1999999999999997,22.49002,29.275421,26.734915839301216,21.091053668496336
2020-07-24,1,0,6.500000000000016,-3.1999999999999997,22.610626,28.791412,26.378186543782554,20.82306932385758
2020-07-25,1,0,6.500000000000016,-3.1999999999999997,22.283234,28.43045,26.113094753689236,20.62210958800148
2020-07-26,1,0,6.500000000000016,-3.1999999999999997,21.790924,27.410065,25.371220906575523,20.051483387077546
2020-07-27,1,0,6.500000000000016,-3.1999999999999997,21.8107,27.550934,25.47339121500651,20.130789589957132
2020-07-28,1,0,6.500000000000016,-3.1999999999999997,21.447174,28.067902,25.84855397542318,20.42002411573155
2020-07-29,1,0,6.500000000000016,-3.1999999999999997,21.046906,28.348175,26.05354732937283,20.576755157049817
2020-07-30,1,0,6.500000000000016,-3.1999999999999997,22.239166,28.79361,26.37905968560113,20.82372867356257
2020-07-31,1,0,6.500000000000016,-3.1999999999999997,22.253326,29.276276,26.736492580837673,21.092231934279525
2020-07-01,2,0,6.300000000000017,-2.9999999999999996,22.663116,26.745758,25.356182522243923,20.039790939136537
2020-07-02,2,0,6.300000000000017,-2.9999999999999996,23.09793,28.0065,25.810479058159725,20.390811360403895
2020-07-03,2,0,6.300000000000017,-2.9999999999999996,23.133698,29.252106,26.719932556152344,21.079854242845983
2020-07-04,2,0,6.300000000000017,-2.9999999999999996,23.175812,28.120758,25.89260525173611,20.453782343947893
2020-07-05,2,0,6.300000000000017,-2.9999999999999996,23.065094,26.894928,25.352918836805557,20.03725274310112
2020-07-06,2,0,6.300000000000017,-2.9999999999999996,22.055817,29.21756,26.693043178982204,21.059743068365925
2020-07-07,2,0,6.300000000000017,-2.9999999999999996,23.049713,28.798248,26.38607449001736,20.82902526674792
2020-07-08,2,0,6.300000000000017,-2.9999999999999996,23.114655,26.966217,25.122684902615017,19.85760563643815
2020-07-09,2,0,6.300000000000017,-2.9999999999999996,22.741608,25.647858,24.289368523491756,19.197621714570268
2020-07-10,2,0,6.300000000000017,-2.9999999999999996,22.4794,26.459137,25.180952284071182,19.903180933263712
2020-07-11,2,0,6.300000000000017,-2.9999999999999996,21.80606,24.893219,23.459951612684463,18.525534003423324
2020-07-12,2,0,6.300000000000017,-2.9999999999999996,22.100372,28.28897,26.012802124023438,20.545676462605925
2020-07-13,2,0,6.300000000000017,-2.9999999999999996,21.601593,28.048859,25.837745666503906,20.411734751048108
2020-07-14,2,0,6.300000000000017,-2.9999999999999996,22.609772,28.420319,26.109551323784725,20.619412912651896
2020-07-15,2,0,6.300000000000017,-2.9999999999999996,22.368805,28.213531,25.95383961995443,20.500637631079726
2020-07-16,2,0,6.300000000000017,-2.9999999999999996,21.792755,27.096588,25.374569363064236,20.05408615695368
2020-07-17,2,0,6.300000000000017,-2.9999999999999996,21.146515,27.204987,25.37420908610026,20.05380612395311
2020-07-18,2,0,6.300000000000017,-2.9999999999999996,22.223297,28.359406,26.065093146430122,20.585555160092923
2020-07-19,2,0,6.300000000000017,-2.9999999999999996,22.451202,28.483673,26.156162685818142,20.654863691852512
